isFake,userBiographyLength,userFollowerCount,userFollowingCount,userHasProfilPic,userIsPrivate,userMediaCount,usernameDigitCount,usernameLength
1,68,70,4332,0,1,331,5,5
1,122,78,3240,0,1,550,6,8
1,100,88,3415,0,1,245,5,17
0,129,92,4006,0,1,584,5,11
1,72,64,3192,0,1,317,6,12
0,59,99,3384,0,0,482,5,12
0,102,65,2867,0,1,217,5,6
0,23,55,3180,0,1,184,5,17
0,139,82,4128,0,1,302,5,8
1,100,63,5631,0,1,304,6,9
1,117,92,3851,0,1,197,5,8
1,120,92,5655,0,1,212,5,8
0,92,56,3086,0,1,280,5,8
1,56,48,6228,0,1,186,6,10
0,97,67,4616,0,1,198,5,10
0,100,49,4689,0,1,234,5,10
1,72,80,3366,0,1,176,5,12
1,55,61,5508,0,0,205,5,5
1,64,65,3588,0,0,200,6,10
0,124,117,3807,0,0,201,5,10
1,25,50,3296,0,0,461,5,14
1,28,86,5190,0,0,433,5,7
1,65,35,3269,0,1,248,6,19
0,58,6,3497,0,1,345,5,8
1,23,82,3284,0,0,393,5,11
1,93,12,3264,0,1,593,6,13
1,38,100,3470,0,1,284,6,6
1,23,81,3166,0,1,213,5,12
0,66,57,4424,0,0,624,5,15
1,1,31,7280,0,1,275,6,11
0,103,21,2834,0,0,162,5,13
1,119,95,7356,0,1,319,6,11
0,1,67,3832,0,1,63,5,11
1,130,48,5501,0,1,85,6,16
0,74,124,3536,0,0,624,6,8
1,15,115,3849,0,1,385,6,8
0,22,2,2932,0,0,420,6,8
1,11,89,6334,0,1,318,6,11
1,134,108,3995,0,0,78,5,18
0,2,104,4177,0,1,221,5,14
0,22,20,5339,0,1,221,6,6
0,41,16,3288,0,0,651,5,11
1,12,75,6298,0,1,175,6,10
1,120,70,7087,0,1,226,6,13
0,60,79,6539,0,1,223,5,13
0,2,75,2951,0,1,274,5,12
0,128,116,2734,0,0,80,5,16
0,38,115,7313,0,1,277,5,14
0,19,57,5943,0,1,131,6,18
1,6,96,2854,0,0,195,5,8
1,11,83,3512,0,0,253,6,9
0,33,15,3907,0,0,163,6,9
0,79,54,4195,0,0,140,5,14
0,74,60,3900,0,0,152,6,11
0,58,68,5205,0,1,123,6,5
0,74,67,4996,0,1,76,5,8
1,81,72,4433,0,1,113,5,8
1,117,58,3068,0,1,92,5,11
0,75,99,4231,0,0,97,6,9
1,65,98,2680,0,1,59,5,10
0,87,93,5620,0,0,84,6,12
0,1,23,4111,0,0,73,5,14
1,45,65,3699,0,1,142,5,12
1,2,60,6451,0,0,421,5,12
1,45,79,4028,0,0,145,5,13
1,49,95,2988,0,1,82,5,8
1,47,60,4255,0,1,59,5,8
1,26,3,3491,0,1,119,5,16
1,60,27,5196,0,0,64,5,8
0,113,39,3733,0,0,96,6,10
1,36,114,5905,0,1,114,5,10
0,33,103,3017,0,1,66,6,9
1,34,115,5017,0,1,84,6,11
1,3,99,3212,0,0,116,6,17
1,6,54,2994,0,1,160,5,12
0,25,29,3467,0,0,157,6,8
0,44,49,4726,0,0,58,6,8
1,43,77,6088,0,0,60,6,9
0,48,74,3615,0,0,87,5,11
0,47,57,3543,0,0,60,5,13
1,39,84,3094,0,0,79,5,11
1,45,101,4947,0,0,64,6,11
0,11,42,3895,0,0,483,6,6
1,3,30,4959,0,0,426,5,12
1,2,100,4974,0,1,88,5,10
1,10,76,4204,0,1,92,6,12
0,2,9,4351,0,0,197,5,10
1,56,74,3341,0,0,100,5,15
0,2,92,6397,0,1,54,6,11
0,14,56,6247,0,0,84,6,11
0,47,32,4718,0,0,112,5,12
1,105,47,6416,0,1,454,4,8
0,93,100,5768,0,1,414,3,7
1,96,97,4720,0,1,408,3,7
0,1,85,3884,0,1,334,3,12
1,1,90,6362,0,1,364,3,13
1,1,58,2814,0,0,319,4,17
0,86,66,5244,0,1,374,3,13
1,60,54,3174,0,1,579,3,11
